confirmation
buy
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
sell
