time,open,high,low,close,tick_volume,spread,real_volume,volume
2023-12-29 15:36:00,2063.67,2064.66,2063.28,2063.47,562,4,0,562
2023-12-29 15:39:00,2063.48,2065.17,2063.33,2064.66,608,4,0,608
2023-12-29 15:42:00,2064.66,2064.75,2063.97,2064.67,505,4,0,505
2023-12-29 15:45:00,2064.66,2064.89,2063.41,2063.69,512,4,0,512
2023-12-29 15:48:00,2063.69,2064.11,2063.04,2063.3,396,4,0,396
2023-12-29 15:51:00,2063.3,2063.33,2061.83,2061.96,537,4,0,537
2023-12-29 15:54:00,2061.96,2062.19,2058.28,2058.45,1056,4,0,1056
2023-12-29 15:57:00,2058.45,2059.79,2058.26,2059.2,685,4,0,685
2023-12-29 16:00:00,2059.19,2061.66,2059.03,2061.09,836,4,0,836
2023-12-29 16:03:00,2061.09,2061.28,2059.54,2059.54,654,4,0,654
2023-12-29 16:06:00,2059.53,2060.17,2059.2,2059.98,548,4,0,548
2023-12-29 16:09:00,2059.98,2060.85,2059.68,2060.55,551,4,0,551
2023-12-29 16:12:00,2060.55,2061.81,2060.29,2061.6,589,4,0,589
2023-12-29 16:15:00,2061.61,2062.24,2061.17,2062.13,671,4,0,671
2023-12-29 16:18:00,2062.13,2062.17,2061.42,2061.74,499,4,0,499
2023-12-29 16:21:00,2061.75,2062.73,2061.6,2062.11,479,4,0,479
2023-12-29 16:24:00,2062.12,2062.13,2061.25,2061.71,463,4,0,463
2023-12-29 16:27:00,2061.71,2061.91,2060.63,2060.98,500,4,0,500
2023-12-29 16:30:00,2060.98,2060.98,2058.55,2059.95,1083,4,0,1083
2023-12-29 16:33:00,2059.95,2060.99,2059.92,2059.94,906,4,0,906
2023-12-29 16:36:00,2059.94,2060.83,2059.67,2060.67,751,4,0,751
2023-12-29 16:39:00,2060.67,2061.77,2060.29,2061.42,727,4,0,727
2023-12-29 16:42:00,2061.42,2063.25,2061.35,2062.5,866,4,0,866
2023-12-29 16:45:00,2062.5,2064.62,2062.4,2064.62,884,4,0,884
2023-12-29 16:48:00,2064.62,2065.35,2064.37,2064.84,1064,4,0,1064
2023-12-29 16:51:00,2064.82,2064.97,2062.61,2063.22,1041,4,0,1041
2023-12-29 16:54:00,2063.2,2063.9,2062.29,2062.68,836,4,0,836
2023-12-29 16:57:00,2062.71,2063.24,2061.87,2062.97,743,4,0,743
2023-12-29 17:00:00,2062.98,2064.84,2062.78,2063.23,1106,4,0,1106
2023-12-29 17:03:00,2063.24,2064.33,2062.52,2063.78,913,4,0,913
2023-12-29 17:06:00,2063.77,2064.33,2063.09,2063.84,822,4,0,822
2023-12-29 17:09:00,2063.83,2063.85,2062.87,2063.25,672,4,0,672
2023-12-29 17:12:00,2063.25,2063.93,2062.89,2063.78,688,4,0,688
2023-12-29 17:15:00,2063.78,2064.04,2063.4,2063.75,604,4,0,604
2023-12-29 17:18:00,2063.75,2064.71,2062.9,2062.9,753,4,0,753
2023-12-29 17:21:00,2062.9,2063.09,2062.38,2062.49,672,4,0,672
2023-12-29 17:24:00,2062.49,2063.03,2061.76,2062.95,635,4,0,635
2023-12-29 17:27:00,2062.95,2063.65,2062.49,2063.58,473,4,0,473
2023-12-29 17:30:00,2063.58,2065.04,2063.37,2064.96,682,4,0,682
2023-12-29 17:33:00,2064.96,2066.12,2064.22,2064.77,879,4,0,879
2023-12-29 17:36:00,2064.77,2065.94,2064.72,2065.17,851,4,0,851
2023-12-29 17:39:00,2065.16,2065.43,2064.64,2064.68,776,4,0,776
2023-12-29 17:42:00,2064.66,2064.73,2062.94,2063.49,1082,4,0,1082
2023-12-29 17:45:00,2063.49,2065.58,2062.62,2065.58,1035,4,0,1035
2023-12-29 17:48:00,2065.58,2065.64,2063.61,2064.68,1291,4,0,1291
2023-12-29 17:51:00,2064.65,2064.78,2063.44,2063.74,938,4,0,938
2023-12-29 17:54:00,2063.78,2065.39,2063.77,2064.53,1211,4,0,1211
2023-12-29 17:57:00,2064.53,2065.7,2064.19,2064.89,1469,4,0,1469
2023-12-29 18:00:00,2064.88,2065.62,2064.05,2064.38,1243,4,0,1243
2023-12-29 18:03:00,2064.38,2064.99,2063.57,2064.31,996,4,0,996
2023-12-29 18:06:00,2064.31,2065.53,2064.09,2064.8,895,4,0,895
2023-12-29 18:09:00,2064.8,2065.74,2064.55,2065.25,769,4,0,769
2023-12-29 18:12:00,2065.23,2065.96,2064.28,2065.45,954,4,0,954
2023-12-29 18:15:00,2065.45,2067.17,2065.44,2067.16,901,4,0,901
2023-12-29 18:18:00,2067.14,2068.03,2066.26,2067.0,946,4,0,946
2023-12-29 18:21:00,2067.01,2067.29,2066.42,2066.98,696,4,0,696
2023-12-29 18:24:00,2067.0,2067.34,2065.97,2065.99,800,4,0,800
2023-12-29 18:27:00,2065.99,2066.0,2064.53,2064.67,742,4,0,742
2023-12-29 18:30:00,2064.67,2065.5,2064.03,2064.03,758,4,0,758
2023-12-29 18:33:00,2064.03,2064.89,2063.79,2064.51,684,4,0,684
2023-12-29 18:36:00,2064.5,2064.76,2063.44,2063.72,590,4,0,590
2023-12-29 18:39:00,2063.71,2064.6,2063.47,2064.23,579,4,0,579
2023-12-29 18:42:00,2064.23,2064.4,2063.88,2064.31,513,4,0,513
2023-12-29 18:45:00,2064.31,2065.69,2064.15,2065.27,609,4,0,609
2023-12-29 18:48:00,2065.27,2066.61,2065.11,2066.32,458,4,0,458
2023-12-29 18:51:00,2066.32,2066.95,2065.8,2066.08,682,4,0,682
2023-12-29 18:54:00,2066.07,2066.67,2065.7,2066.63,496,4,0,496
2023-12-29 18:57:00,2066.63,2066.71,2065.58,2066.19,649,4,0,649
2023-12-29 19:00:00,2066.19,2066.19,2065.33,2065.6,659,4,0,659
2023-12-29 19:03:00,2065.59,2065.89,2064.53,2065.79,626,4,0,626
2023-12-29 19:06:00,2065.76,2066.14,2065.23,2065.32,449,4,0,449
2023-12-29 19:09:00,2065.33,2066.35,2065.02,2066.24,509,4,0,509
2023-12-29 19:12:00,2066.24,2067.04,2066.22,2066.62,481,4,0,481
2023-12-29 19:15:00,2066.63,2066.93,2066.43,2066.64,559,4,0,559
2023-12-29 19:18:00,2066.63,2067.14,2066.07,2066.37,586,4,0,586
2023-12-29 19:21:00,2066.4,2066.97,2066.03,2066.08,511,4,0,511
2023-12-29 19:24:00,2066.07,2066.63,2066.01,2066.54,377,4,0,377
2023-12-29 19:27:00,2066.54,2067.32,2066.44,2066.86,311,4,0,311
2023-12-29 19:30:00,2066.86,2067.4,2066.63,2067.01,356,4,0,356
2023-12-29 19:33:00,2067.0,2067.05,2066.33,2066.39,291,4,0,291
2023-12-29 19:36:00,2066.39,2066.61,2066.02,2066.6,397,4,0,397
2023-12-29 19:39:00,2066.6,2067.04,2066.41,2066.63,267,4,0,267
2023-12-29 19:42:00,2066.64,2067.92,2066.64,2067.84,412,4,0,412
2023-12-29 19:45:00,2067.83,2068.19,2066.32,2066.67,523,4,0,523
2023-12-29 19:48:00,2066.68,2066.78,2065.42,2065.61,590,4,0,590
2023-12-29 19:51:00,2065.61,2066.51,2065.61,2066.4,472,4,0,472
2023-12-29 19:54:00,2066.4,2067.32,2066.22,2066.9,558,4,0,558
2023-12-29 19:57:00,2066.88,2067.37,2066.47,2066.62,847,4,0,847
2023-12-29 20:00:00,2066.58,2066.6,2061.7,2061.82,1479,4,0,1479
2023-12-29 20:03:00,2061.82,2063.02,2061.16,2061.91,1179,4,0,1179
2023-12-29 20:06:00,2061.91,2063.46,2061.45,2063.42,780,4,0,780
2023-12-29 20:09:00,2063.42,2064.64,2062.48,2064.38,591,4,0,591
2023-12-29 20:12:00,2064.38,2064.98,2063.72,2064.56,618,4,0,618
2023-12-29 20:15:00,2064.56,2064.86,2063.65,2064.77,588,4,0,588
2023-12-29 20:18:00,2064.77,2064.79,2063.64,2063.84,589,4,0,589
2023-12-29 20:21:00,2063.84,2063.99,2062.75,2062.9,532,4,0,532
2023-12-29 20:24:00,2062.9,2063.06,2061.87,2062.79,681,4,0,681
2023-12-29 20:27:00,2062.79,2063.39,2062.18,2062.4,771,4,0,771
2023-12-29 20:30:00,2062.4,2063.28,2062.19,2062.5,566,4,0,566
2023-12-29 20:33:00,2062.5,2062.83,2061.97,2062.57,416,4,0,416
2023-12-29 20:36:00,2062.57,2063.77,2062.38,2063.77,420,4,0,420
2023-12-29 20:39:00,2063.77,2064.48,2063.55,2064.26,550,4,0,550
2023-12-29 20:42:00,2064.26,2065.73,2064.26,2065.24,545,4,0,545
2023-12-29 20:45:00,2065.26,2065.27,2064.08,2064.7,473,4,0,473
2023-12-29 20:48:00,2064.7,2065.16,2064.64,2064.76,456,4,0,456
2023-12-29 20:51:00,2064.76,2064.99,2064.5,2064.68,453,4,0,453
2023-12-29 20:54:00,2064.68,2064.79,2064.34,2064.67,447,4,0,447
2023-12-29 20:57:00,2064.67,2064.89,2064.5,2064.88,491,4,0,491
2023-12-29 21:00:00,2064.9,2065.34,2064.61,2064.75,516,4,0,516
2023-12-29 21:03:00,2064.75,2064.91,2064.27,2064.34,347,4,0,347
2023-12-29 21:06:00,2064.35,2064.69,2064.1,2064.64,464,4,0,464
2023-12-29 21:09:00,2064.64,2064.83,2064.41,2064.81,331,4,0,331
2023-12-29 21:12:00,2064.81,2064.84,2064.21,2064.64,287,4,0,287
2023-12-29 21:15:00,2064.64,2065.28,2064.57,2065.23,263,4,0,263
2023-12-29 21:18:00,2065.23,2065.28,2065.04,2065.13,251,4,0,251
2023-12-29 21:21:00,2065.14,2065.28,2064.8,2064.81,259,4,0,259
2023-12-29 21:24:00,2064.82,2065.07,2064.78,2064.93,260,4,0,260
2023-12-29 21:27:00,2064.93,2065.18,2064.78,2064.95,253,4,0,253
2023-12-29 21:30:00,2064.95,2066.07,2064.85,2066.0,301,4,0,301
2023-12-29 21:33:00,2066.0,2066.8,2066.0,2066.8,388,4,0,388
2023-12-29 21:36:00,2066.82,2067.58,2066.76,2067.1,484,4,0,484
2023-12-29 21:39:00,2067.11,2067.33,2066.52,2067.3,301,4,0,301
2023-12-29 21:42:00,2067.29,2067.3,2066.8,2067.03,248,4,0,248
2023-12-29 21:45:00,2067.03,2067.3,2066.86,2067.17,258,4,0,258
2023-12-29 21:48:00,2067.18,2067.77,2067.17,2067.74,279,4,0,279
2023-12-29 21:51:00,2067.76,2067.88,2067.51,2067.6,245,4,0,245
2023-12-29 21:54:00,2067.6,2067.7,2067.04,2067.31,311,4,0,311
2023-12-29 21:57:00,2067.31,2067.52,2067.17,2067.37,331,4,0,331
2023-12-29 22:00:00,2067.37,2067.41,2066.33,2066.54,561,4,0,561
2023-12-29 22:03:00,2066.54,2066.97,2066.37,2066.76,204,4,0,204
2023-12-29 22:06:00,2066.76,2067.24,2066.76,2067.11,234,4,0,234
2023-12-29 22:09:00,2067.11,2067.45,2066.83,2066.91,290,4,0,290
2023-12-29 22:12:00,2066.91,2066.95,2066.41,2066.44,273,4,0,273
2023-12-29 22:15:00,2066.44,2066.49,2066.16,2066.34,273,4,0,273
2023-12-29 22:18:00,2066.34,2066.61,2066.34,2066.56,254,4,0,254
2023-12-29 22:21:00,2066.55,2066.55,2065.44,2065.7,371,4,0,371
2023-12-29 22:24:00,2065.7,2066.34,2065.21,2066.29,400,4,0,400
2023-12-29 22:27:00,2066.29,2066.29,2065.58,2065.87,211,4,0,211
2023-12-29 22:30:00,2065.87,2065.87,2065.23,2065.39,247,4,0,247
2023-12-29 22:33:00,2065.39,2065.81,2065.3,2065.57,281,4,0,281
2023-12-29 22:36:00,2065.57,2065.74,2065.37,2065.47,307,4,0,307
2023-12-29 22:39:00,2065.47,2065.66,2064.65,2064.82,312,4,0,312
2023-12-29 22:42:00,2064.84,2065.04,2064.02,2064.26,375,4,0,375
2023-12-29 22:45:00,2064.26,2064.53,2063.42,2063.42,347,4,0,347
2023-12-29 22:48:00,2063.43,2063.92,2063.41,2063.54,393,4,0,393
2023-12-29 22:51:00,2063.54,2063.6,2063.18,2063.53,454,4,0,454
2023-12-29 22:54:00,2063.55,2063.76,2063.02,2063.03,516,4,0,516
2023-12-29 22:57:00,2063.05,2063.23,2062.66,2063.19,701,4,0,701
2023-12-29 23:00:00,2063.22,2063.56,2062.98,2063.16,276,4,0,276
