time,open,high,low,close,tick_volume,spread,real_volume,volume
2026-07-23 09:57:00,4119.55,4120.09,4117.78,4118.54,2356,9,0,2356
2026-07-23 10:00:00,4118.55,4119.39,4113.94,4115.59,2435,13,0,2435
2026-07-23 10:03:00,4115.6,4116.54,4114.02,4115.65,2192,14,0,2192
2026-07-23 10:06:00,4115.63,4115.76,4111.49,4112.02,2167,14,0,2167
2026-07-23 10:09:00,4112.03,4112.2,4105.22,4105.3,2222,14,0,2222
2026-07-23 10:12:00,4105.28,4107.57,4102.03,4106.65,2314,14,0,2314
2026-07-23 10:15:00,4106.65,4111.9,4106.56,4110.32,2344,14,0,2344
2026-07-23 10:18:00,4110.31,4111.26,4107.78,4108.88,2234,14,0,2234
2026-07-23 10:21:00,4108.87,4109.67,4107.76,4108.46,2164,14,0,2164
2026-07-23 10:24:00,4108.45,4110.13,4105.48,4110.13,2074,13,0,2074
2026-07-23 10:27:00,4110.11,4110.56,4107.66,4108.44,1988,12,0,1988
2026-07-23 10:30:00,4108.43,4108.83,4102.08,4103.66,2077,12,0,2077
2026-07-23 10:33:00,4103.65,4106.63,4102.14,4103.49,2081,13,0,2081
2026-07-23 10:36:00,4103.51,4104.92,4100.27,4101.7,2253,9,0,2253
2026-07-23 10:39:00,4101.67,4102.09,4099.44,4099.62,2270,9,0,2270
2026-07-23 10:42:00,4099.6,4100.14,4091.41,4095.56,2423,9,0,2423
2026-07-23 10:45:00,4095.56,4096.86,4091.27,4092.23,2280,14,0,2280
2026-07-23 10:48:00,4092.25,4095.37,4091.45,4094.83,2236,13,0,2236
2026-07-23 10:51:00,4094.8,4095.13,4089.88,4091.39,2250,11,0,2250
2026-07-23 10:54:00,4091.36,4096.71,4091.08,4095.81,2308,14,0,2308
2026-07-23 10:57:00,4095.81,4096.85,4093.37,4095.43,2520,9,0,2520
2026-07-23 11:00:00,4095.45,4097.41,4090.23,4091.89,2382,9,0,2382
2026-07-23 11:03:00,4091.91,4094.5,4090.8,4093.48,2510,9,0,2510
2026-07-23 11:06:00,4093.48,4095.97,4092.95,4093.9,2354,9,0,2354
2026-07-23 11:09:00,4093.89,4097.73,4093.57,4094.78,2125,9,0,2125
2026-07-23 11:12:00,4094.78,4095.92,4090.26,4091.42,2141,11,0,2141
2026-07-23 11:15:00,4091.47,4092.47,4090.58,4092.16,2103,13,0,2103
2026-07-23 11:18:00,4092.16,4092.17,4089.56,4090.65,2012,12,0,2012
2026-07-23 11:21:00,4090.66,4091.47,4088.7,4090.14,2003,11,0,2003
2026-07-23 11:24:00,4090.14,4091.3,4089.03,4091.23,2017,13,0,2017
2026-07-23 11:27:00,4091.26,4092.11,4090.1,4091.91,1982,13,0,1982
2026-07-23 11:30:00,4091.88,4091.88,4089.92,4090.39,2063,14,0,2063
2026-07-23 11:33:00,4090.38,4093.79,4089.98,4091.5,2017,13,0,2017
2026-07-23 11:36:00,4091.49,4092.92,4090.83,4092.27,1954,13,0,1954
2026-07-23 11:39:00,4092.27,4092.75,4089.13,4089.19,2088,14,0,2088
2026-07-23 11:42:00,4089.2,4092.74,4088.77,4092.47,2082,12,0,2082
2026-07-23 11:45:00,4092.45,4092.48,4089.51,4089.51,2369,9,0,2369
2026-07-23 11:48:00,4089.52,4090.91,4086.86,4090.19,2108,14,0,2108
2026-07-23 11:51:00,4090.19,4091.02,4088.64,4090.77,2116,10,0,2116
2026-07-23 11:54:00,4090.75,4094.24,4090.42,4094.22,2422,9,0,2422
2026-07-23 11:57:00,4094.25,4094.82,4093.24,4093.42,2055,9,0,2055
2026-07-23 12:00:00,4093.42,4096.42,4092.68,4095.83,2053,9,0,2053
2026-07-23 12:03:00,4095.85,4099.4,4095.11,4098.24,2296,14,0,2296
2026-07-23 12:06:00,4098.23,4098.53,4096.68,4097.6,2000,13,0,2000
2026-07-23 12:09:00,4097.59,4098.61,4096.76,4098.3,2259,9,0,2259
2026-07-23 12:12:00,4098.31,4098.31,4094.84,4094.92,1995,9,0,1995
2026-07-23 12:15:00,4094.9,4095.92,4093.99,4095.84,1934,13,0,1934
2026-07-23 12:18:00,4095.85,4097.03,4094.27,4094.71,1963,14,0,1963
2026-07-23 12:21:00,4094.7,4095.32,4093.26,4093.71,1932,12,0,1932
2026-07-23 12:24:00,4093.74,4094.79,4090.27,4090.27,2035,10,0,2035
2026-07-23 12:27:00,4090.29,4091.82,4089.44,4091.48,2050,12,0,2050
2026-07-23 12:30:00,4091.47,4091.54,4088.64,4089.75,2112,14,0,2112
2026-07-23 12:33:00,4089.75,4092.3,4089.6,4091.67,2010,11,0,2010
2026-07-23 12:36:00,4091.69,4092.76,4090.68,4091.75,2389,9,0,2389
2026-07-23 12:39:00,4091.75,4092.07,4090.51,4091.78,2129,9,0,2129
2026-07-23 12:42:00,4091.78,4093.26,4091.39,4091.83,2003,9,0,2003
2026-07-23 12:45:00,4091.83,4094.23,4091.83,4091.97,1969,14,0,1969
2026-07-23 12:48:00,4091.96,4093.84,4091.58,4092.61,2005,13,0,2005
2026-07-23 12:51:00,4092.62,4093.36,4089.87,4093.05,2043,12,0,2043
2026-07-23 12:54:00,4093.06,4093.96,4091.29,4091.35,1904,13,0,1904
2026-07-23 12:57:00,4091.12,4091.76,4088.4,4089.86,1986,12,0,1986
2026-07-23 13:00:00,4089.87,4091.67,4088.13,4090.61,2132,14,0,2132
2026-07-23 13:03:00,4090.65,4091.18,4089.84,4090.58,2028,11,0,2028
2026-07-23 13:06:00,4090.58,4091.24,4088.56,4089.11,2062,12,0,2062
2026-07-23 13:09:00,4089.13,4089.84,4087.96,4089.33,2052,13,0,2052
2026-07-23 13:12:00,4089.36,4091.56,4089.3,4090.85,2043,10,0,2043
2026-07-23 13:15:00,4090.85,4092.47,4090.25,4091.47,2101,9,0,2101
2026-07-23 13:18:00,4091.43,4092.44,4087.98,4088.39,2102,10,0,2102
2026-07-23 13:21:00,4088.38,4088.63,4085.81,4086.71,2055,14,0,2055
2026-07-23 13:24:00,4086.73,4089.31,4086.39,4088.45,1958,10,0,1958
2026-07-23 13:27:00,4088.46,4090.44,4088.22,4089.85,2205,9,0,2205
2026-07-23 13:30:00,4089.88,4092.78,4089.16,4089.25,2092,12,0,2092
2026-07-23 13:33:00,4089.24,4090.37,4086.61,4088.75,1995,9,0,1995
2026-07-23 13:36:00,4088.77,4090.18,4088.31,4089.26,2218,9,0,2218
2026-07-23 13:39:00,4089.24,4090.06,4087.37,4088.23,2289,9,0,2289
2026-07-23 13:42:00,4088.22,4089.71,4088.05,4089.39,2445,9,0,2445
2026-07-23 13:45:00,4089.39,4089.82,4087.24,4089.78,2132,9,0,2132
2026-07-23 13:48:00,4089.8,4093.78,4089.49,4093.23,2023,9,0,2023
2026-07-23 13:51:00,4093.22,4094.09,4091.7,4091.94,2072,12,0,2072
2026-07-23 13:54:00,4091.96,4095.28,4091.93,4094.32,2516,9,0,2516
2026-07-23 13:57:00,4094.29,4094.29,4092.03,4093.21,2216,9,0,2216
2026-07-23 14:00:00,4093.21,4093.84,4091.42,4092.72,2295,12,0,2295
2026-07-23 14:03:00,4092.72,4092.9,4090.46,4091.25,2036,9,0,2036
2026-07-23 14:06:00,4091.27,4091.48,4089.02,4090.82,2018,13,0,2018
2026-07-23 14:09:00,4090.84,4090.98,4087.11,4088.74,2040,9,0,2040
2026-07-23 14:12:00,4088.73,4089.64,4087.04,4087.73,2373,9,0,2373
2026-07-23 14:15:00,4087.71,4089.25,4084.35,4085.17,2217,9,0,2217
2026-07-23 14:18:00,4085.2,4087.25,4083.81,4085.05,2104,11,0,2104
