time,open,high,low,close,volume,spread,real_volume
2025-12-09 20:39:00,4205.69,4206.29,4204.96,4205.15,1369,3,0
2025-12-09 20:42:00,4205.13,4207.17,4204.74,4205.78,1368,3,0
2025-12-09 20:45:00,4205.74,4206.21,4204.9,4204.92,1076,3,0
2025-12-09 20:48:00,4204.94,4207.01,4204.82,4205.88,1180,3,0
2025-12-09 20:51:00,4205.87,4207.53,4205.17,4207.12,813,3,0
2025-12-09 20:54:00,4207.02,4209.51,4206.86,4209.28,1187,3,0
2025-12-09 20:57:00,4209.24,4209.83,4208.76,4209.03,1064,3,0
2025-12-09 21:00:00,4209.02,4210.17,4208.58,4209.77,1264,3,0
2025-12-09 21:03:00,4209.79,4211.85,4209.23,4211.42,1301,3,0
2025-12-09 21:06:00,4211.45,4211.79,4209.62,4210.88,957,3,0
2025-12-09 21:09:00,4210.83,4212.32,4210.75,4212.05,989,3,0
2025-12-09 21:12:00,4212.06,4212.49,4209.96,4210.99,1151,3,0
2025-12-09 21:15:00,4211.02,4211.34,4209.23,4209.69,1357,3,0
2025-12-09 21:18:00,4209.75,4210.73,4209.37,4210.24,1090,3,0
2025-12-09 21:21:00,4210.21,4210.52,4207.7,4208.21,802,3,0
2025-12-09 21:24:00,4208.16,4209.23,4207.79,4208.87,999,3,0
2025-12-09 21:27:00,4208.81,4209.6,4208.13,4208.36,804,3,0
2025-12-09 21:30:00,4208.44,4209.07,4207.41,4208.4,1317,3,0
2025-12-09 21:33:00,4208.44,4210.22,4208.2,4209.02,722,3,0
2025-12-09 21:36:00,4208.99,4209.74,4208.42,4209.22,964,3,0
2025-12-09 21:39:00,4209.22,4209.65,4208.76,4208.87,927,3,0
2025-12-09 21:42:00,4208.87,4209.61,4208.28,4209.21,1075,3,0
2025-12-09 21:45:00,4209.22,4209.24,4207.26,4208.04,1100,3,0
2025-12-09 21:48:00,4208.01,4209.52,4207.93,4209.28,1110,3,0
2025-12-09 21:51:00,4209.29,4213.53,4209.28,4212.9,1891,3,0
2025-12-09 21:54:00,4212.89,4214.62,4212.51,4213.73,1210,3,0
2025-12-09 21:57:00,4213.72,4214.25,4212.02,4212.53,1235,3,0
2025-12-09 22:00:00,4212.49,4215.33,4212.21,4214.96,990,3,0
2025-12-09 22:03:00,4214.98,4215.02,4212.32,4213.08,1051,3,0
2025-12-09 22:06:00,4213.1,4213.99,4212.04,4212.68,1139,3,0
2025-12-09 22:09:00,4212.68,4216.1,4212.61,4215.82,897,3,0
2025-12-09 22:12:00,4215.81,4216.12,4213.58,4214.5,921,3,0
2025-12-09 22:15:00,4214.5,4214.59,4212.42,4213.27,1238,3,0
2025-12-09 22:18:00,4213.24,4213.28,4211.38,4211.84,909,3,0
