time,open,high,low,close,volume,spread,real_volume
2026-01-26 11:03:00,5087.14,5092.92,5085.53,5091.03,1682,12,0
2026-01-26 11:06:00,5091.02,5091.27,5089.16,5089.58,898,12,0
2026-01-26 11:09:00,5089.65,5091.48,5087.68,5089.27,1221,8,0
2026-01-26 11:12:00,5089.19,5091.34,5087.21,5091.21,1504,8,0
2026-01-26 11:15:00,5091.23,5094.09,5091.23,5093.18,1463,8,0
2026-01-26 11:18:00,5093.18,5094.34,5091.34,5092.1,1877,8,0
2026-01-26 11:21:00,5092.11,5092.53,5088.36,5088.38,2219,8,0
2026-01-26 11:24:00,5088.35,5091.67,5088.16,5090.99,1904,8,0
2026-01-26 11:27:00,5090.97,5096.96,5090.61,5096.8,1483,8,0
2026-01-26 11:30:00,5096.76,5098.34,5095.16,5097.73,1437,8,0
2026-01-26 11:33:00,5097.74,5098.22,5096.62,5098.09,1049,8,0
2026-01-26 11:36:00,5098.11,5098.38,5095.32,5095.56,1150,8,0
2026-01-26 11:39:00,5095.54,5095.54,5087.4,5087.54,2005,8,0
2026-01-26 11:42:00,5087.51,5091.88,5087.51,5091.52,1454,8,0
2026-01-26 11:45:00,5091.54,5093.17,5090.5,5090.75,1197,8,0
2026-01-26 11:48:00,5090.68,5091.22,5083.18,5086.1,1480,8,0
2026-01-26 11:51:00,5080.39,5085.08,5078.43,5082.64,2641,8,0
2026-01-26 11:54:00,5082.77,5083.06,5075.49,5076.83,2470,8,0
2026-01-26 11:57:00,5076.79,5084.19,5075.5,5084.0,2089,8,0
2026-01-26 12:00:00,5084.16,5086.13,5081.84,5081.92,2046,8,0
2026-01-26 12:03:00,5081.95,5084.43,5078.73,5084.11,1805,8,0
2026-01-26 12:06:00,5084.11,5085.24,5079.03,5080.75,1640,8,0
2026-01-26 12:09:00,5080.73,5085.45,5080.7,5083.7,2000,8,0
2026-01-26 12:12:00,5083.68,5090.64,5083.68,5089.28,2079,8,0
2026-01-26 12:15:00,5089.27,5089.93,5087.27,5088.74,1180,8,0
2026-01-26 12:18:00,5088.75,5091.43,5087.35,5091.14,1571,8,0
2026-01-26 12:21:00,5091.13,5091.13,5088.87,5088.96,814,8,0
2026-01-26 12:24:00,5088.97,5089.76,5086.46,5087.48,953,8,0
2026-01-26 12:27:00,5087.47,5089.9,5086.19,5087.6,1065,8,0
2026-01-26 12:30:00,5087.67,5092.21,5085.85,5090.86,1329,8,0
2026-01-26 12:33:00,5090.89,5093.76,5090.89,5092.85,1447,8,0
2026-01-26 12:36:00,5092.86,5093.95,5090.37,5092.91,1381,8,0
2026-01-26 12:39:00,5092.86,5095.07,5092.84,5093.04,832,8,0
2026-01-26 12:42:00,5093.01,5094.08,5092.1,5092.94,995,8,0
2026-01-26 12:45:00,5092.96,5094.31,5091.95,5092.67,1313,8,0
2026-01-26 12:48:00,5092.7,5093.03,5091.16,5092.27,1013,8,0
2026-01-26 12:51:00,5092.26,5092.69,5090.23,5092.36,1782,8,0
2026-01-26 12:54:00,5092.37,5093.12,5091.22,5091.73,1434,8,0
2026-01-26 12:57:00,5091.74,5092.19,5090.7,5091.72,844,8,0
2026-01-26 13:00:00,5091.77,5091.81,5089.3,5089.69,1246,8,0
2026-01-26 13:03:00,5089.66,5092.84,5089.44,5092.43,1551,8,0
2026-01-26 13:06:00,5092.46,5092.7,5090.11,5091.97,1298,8,0
2026-01-26 13:09:00,5091.96,5092.16,5088.93,5089.68,1378,8,0
2026-01-26 13:12:00,5089.62,5089.86,5087.27,5087.94,1451,8,0
2026-01-26 13:15:00,5087.94,5088.64,5085.8,5086.11,1578,8,0
2026-01-26 13:18:00,5086.11,5086.32,5078.55,5079.34,3162,8,0
2026-01-26 13:21:00,5079.35,5083.57,5079.18,5083.28,1643,8,0
2026-01-26 13:24:00,5083.28,5085.23,5083.28,5084.23,1312,8,0
2026-01-26 13:27:00,5084.25,5087.6,5082.57,5087.38,1620,8,0
2026-01-26 13:30:00,5087.37,5087.71,5083.86,5084.1,1461,8,0
2026-01-26 13:33:00,5084.05,5087.05,5083.74,5086.57,1110,8,0
2026-01-26 13:36:00,5086.54,5090.91,5086.54,5090.72,1380,8,0
2026-01-26 13:39:00,5090.71,5092.39,5090.09,5091.06,1493,8,0
2026-01-26 13:42:00,5091.03,5092.45,5089.27,5090.0,1499,8,0
2026-01-26 13:45:00,5089.99,5090.12,5087.27,5089.82,1885,8,0
2026-01-26 13:48:00,5089.8,5091.38,5089.35,5091.38,1423,8,0
2026-01-26 13:51:00,5091.28,5092.53,5090.51,5091.42,1071,8,0
2026-01-26 13:54:00,5091.4,5092.38,5090.71,5091.27,1117,8,0
2026-01-26 13:57:00,5091.23,5091.8,5089.75,5091.41,985,8,0
2026-01-26 14:00:00,5091.49,5093.38,5087.15,5092.56,2055,8,0
2026-01-26 14:03:00,5092.52,5093.81,5091.96,5093.6,1509,8,0
2026-01-26 14:06:00,5093.56,5093.69,5090.37,5091.46,1617,8,0
2026-01-26 14:09:00,5091.45,5093.6,5090.8,5091.53,2325,8,0
2026-01-26 14:12:00,5091.52,5091.95,5089.45,5090.45,2061,8,0
2026-01-26 14:15:00,5090.42,5091.35,5088.87,5089.15,1282,8,0
2026-01-26 14:18:00,5089.13,5090.79,5086.15,5090.58,1941,8,0
2026-01-26 14:21:00,5090.55,5096.44,5090.46,5095.39,2274,8,0
2026-01-26 14:24:00,5095.41,5097.08,5090.64,5090.87,2299,8,0
2026-01-26 14:27:00,5090.89,5091.31,5088.74,5090.07,1448,8,0
