time,open,high,low,close,tick_volume,spread,real_volume,volume
2025-10-28 04:54:00,3983.75,3984.78,3980.84,3983.97,949,7,0,949
2025-10-28 04:57:00,3983.58,3985.87,3982.88,3983.97,892,5,0,892
2025-10-28 05:00:00,3983.88,3988.55,3983.7,3988.45,647,5,0,647
2025-10-28 05:03:00,3988.51,3989.11,3984.61,3986.16,703,5,0,703
2025-10-28 05:06:00,3986.13,3988.48,3986.07,3986.76,586,5,0,586
2025-10-28 05:09:00,3986.77,3986.8,3983.22,3984.86,805,5,0,805
2025-10-28 05:12:00,3984.89,3989.59,3983.64,3989.41,680,5,0,680
2025-10-28 05:15:00,3989.37,3990.49,3989.06,3990.18,520,5,0,520
2025-10-28 05:18:00,3990.17,3990.97,3986.73,3987.09,550,5,0,550
2025-10-28 05:21:00,3987.1,3989.66,3986.95,3988.32,392,5,0,392
2025-10-28 05:24:00,3988.27,3993.7,3988.04,3993.67,423,5,0,423
2025-10-28 05:27:00,3993.67,3994.36,3990.16,3990.43,649,7,0,649
2025-10-28 05:30:00,3990.38,3990.89,3988.34,3989.79,336,7,0,336
2025-10-28 05:33:00,3989.79,3991.09,3988.55,3989.8,283,5,0,283
2025-10-28 05:36:00,3989.8,3989.8,3987.32,3987.33,266,5,0,266
2025-10-28 05:39:00,3987.33,3988.44,3985.09,3987.09,615,10,0,615
2025-10-28 05:42:00,3987.14,3987.96,3985.94,3987.19,373,5,0,373
2025-10-28 05:45:00,3987.18,3990.58,3987.06,3990.53,428,5,0,428
2025-10-28 05:48:00,3990.53,3992.09,3990.51,3991.55,419,5,0,419
2025-10-28 05:51:00,3991.56,3992.15,3990.55,3991.92,317,5,0,317
2025-10-28 05:54:00,3991.86,3993.76,3991.4,3992.49,365,5,0,365
2025-10-28 05:57:00,3992.39,3993.08,3991.39,3992.85,300,7,0,300
2025-10-28 06:00:00,3992.87,3994.21,3991.99,3992.04,293,7,0,293
2025-10-28 06:03:00,3992.04,3992.4,3989.02,3989.1,516,7,0,516
2025-10-28 06:06:00,3989.05,3990.7,3986.44,3988.96,573,11,0,573
2025-10-28 06:09:00,3989.12,3989.57,3986.75,3986.77,438,10,0,438
2025-10-28 06:12:00,3986.81,3987.66,3985.41,3987.51,707,11,0,707
2025-10-28 06:15:00,3987.45,3988.22,3981.51,3984.27,728,11,0,728
2025-10-28 06:18:00,3984.27,3984.85,3981.9,3984.0,526,12,0,526
2025-10-28 06:21:00,3984.0,3984.05,3975.12,3975.65,950,9,0,950
2025-10-28 06:24:00,3975.64,3977.63,3963.94,3968.28,1561,12,0,1561
2025-10-28 06:27:00,3968.47,3973.0,3966.77,3971.54,1056,12,0,1056
2025-10-28 06:30:00,3971.53,3974.39,3967.23,3968.24,1002,10,0,1002
2025-10-28 06:33:00,3968.25,3973.71,3967.55,3972.66,713,9,0,713
2025-10-28 06:36:00,3972.66,3974.27,3971.08,3971.79,578,5,0,578
2025-10-28 06:39:00,3971.77,3979.14,3969.29,3977.66,805,5,0,805
2025-10-28 06:42:00,3977.86,3980.31,3976.12,3977.18,979,11,0,979
2025-10-28 06:45:00,3977.19,3977.96,3973.83,3976.27,745,6,0,745
2025-10-28 06:48:00,3976.25,3978.55,3974.86,3976.62,694,5,0,694
2025-10-28 06:51:00,3976.66,3976.83,3974.36,3974.4,497,5,0,497
2025-10-28 06:54:00,3974.43,3976.17,3971.15,3975.35,674,5,0,674
2025-10-28 06:57:00,3975.3,3977.67,3973.37,3973.57,738,6,0,738
2025-10-28 07:00:00,3974.48,3977.53,3971.86,3974.68,939,6,0,939
2025-10-28 07:03:00,3974.56,3974.91,3972.38,3972.42,499,5,0,499
2025-10-28 07:06:00,3972.42,3973.28,3970.32,3972.01,759,5,0,759
2025-10-28 07:09:00,3972.11,3976.12,3971.46,3975.39,560,5,0,560
2025-10-28 07:12:00,3975.4,3979.38,3975.21,3976.8,680,5,0,680
2025-10-28 07:15:00,3976.59,3980.19,3975.07,3977.18,677,6,0,677
2025-10-28 07:18:00,3977.23,3977.34,3968.87,3970.32,734,7,0,734
2025-10-28 07:21:00,3970.3,3973.76,3969.99,3972.62,436,10,0,436
2025-10-28 07:24:00,3972.64,3977.22,3972.64,3976.52,601,5,0,601
2025-10-28 07:27:00,3976.53,3976.92,3973.67,3975.42,472,5,0,472
2025-10-28 07:30:00,3975.45,3976.0,3963.84,3966.19,1571,5,0,1571
2025-10-28 07:33:00,3966.22,3970.31,3960.26,3962.93,1286,12,0,1286
2025-10-28 07:36:00,3962.9,3964.31,3959.9,3962.6,993,12,0,993
2025-10-28 07:39:00,3962.62,3963.13,3959.24,3962.91,998,10,0,998
2025-10-28 07:42:00,3962.96,3963.83,3960.21,3960.58,746,5,0,746
2025-10-28 07:45:00,3960.54,3964.43,3960.15,3964.29,999,5,0,999
2025-10-28 07:48:00,3964.25,3966.09,3962.01,3965.34,968,5,0,968
2025-10-28 07:51:00,3965.32,3967.39,3963.64,3963.82,670,5,0,670
2025-10-28 07:54:00,3963.86,3965.16,3962.68,3964.97,519,5,0,519
2025-10-28 07:57:00,3965.01,3968.14,3962.67,3966.61,815,5,0,815
2025-10-28 08:00:00,3966.68,3968.8,3962.57,3964.07,945,5,0,945
2025-10-28 08:03:00,3964.06,3964.48,3959.03,3961.08,885,5,0,885
2025-10-28 08:06:00,3961.08,3961.14,3955.94,3958.35,1007,5,0,1007
2025-10-28 08:09:00,3958.41,3960.18,3954.25,3956.49,1086,5,0,1086
2025-10-28 08:12:00,3956.49,3956.54,3953.42,3955.71,1056,5,0,1056
2025-10-28 08:15:00,3955.67,3959.61,3955.42,3956.25,720,5,0,720
2025-10-28 08:18:00,3956.25,3957.63,3954.91,3955.46,754,5,0,754
2025-10-28 08:21:00,3955.51,3959.06,3954.48,3959.02,649,5,0,649
2025-10-28 08:24:00,3959.05,3959.6,3956.15,3957.64,631,5,0,631
2025-10-28 08:27:00,3957.66,3957.73,3951.58,3952.78,853,5,0,853
2025-10-28 08:30:00,3952.78,3955.46,3951.93,3952.07,724,5,0,724
2025-10-28 08:33:00,3952.06,3957.13,3951.44,3952.75,1039,5,0,1039
2025-10-28 08:36:00,3952.76,3954.28,3949.66,3950.18,1001,5,0,1001
2025-10-28 08:39:00,3950.2,3950.53,3944.16,3944.44,1111,5,0,1111
2025-10-28 08:42:00,3944.34,3947.38,3943.64,3943.69,1039,5,0,1039
2025-10-28 08:45:00,3943.69,3945.39,3941.34,3944.22,933,5,0,933
